"","date","object","weight_lbs"
"733",2020-06-18,"raisin",18.5
"734",2020-06-18,"simone",10.4375
"735",2020-06-18,"gagne",NA
"736",2020-06-18,"std",NA
"737",2020-06-21,"raisin",18.1875
"738",2020-06-21,"simone",10.4375
"739",2020-06-21,"gagne",NA
"740",2020-06-21,"std",NA
"741",2020-06-23,"raisin",18.3125
"742",2020-06-23,"simone",10.5
"743",2020-06-23,"gagne",NA
"744",2020-06-23,"std",NA
"745",2020-07-12,"raisin",18.5625
"746",2020-07-12,"simone",10.5
"747",2020-07-12,"gagne",NA
"748",2020-07-12,"std",NA
"749",2020-07-13,"raisin",18.375
"750",2020-07-13,"simone",NA
"751",2020-07-13,"gagne",NA
"752",2020-07-13,"std",NA
"753",2020-07-14,"raisin",18.375
"754",2020-07-14,"simone",NA
"755",2020-07-14,"gagne",NA
"756",2020-07-14,"std",NA
"757",2020-07-15,"raisin",18.5
"758",2020-07-15,"simone",10.375
"759",2020-07-15,"gagne",NA
"760",2020-07-15,"std",NA
"761",2020-07-17,"raisin",18.3125
"762",2020-07-17,"simone",10.75
"763",2020-07-17,"gagne",NA
"764",2020-07-17,"std",NA
"765",2020-07-18,"raisin",18.5625
"766",2020-07-18,"simone",NA
